lon,lat,anomalia,dpv,vel_media_viento
-4.863596,39.958607,65.532137714361,3.1455125566557,3.9
-4.680608,40.108208,94.114426498768,3.8074585617403,
-4.616461,39.088833,69.193112761648,3.2787124399791,
-4.301663,38.428886,90.838580162424,3.5159441437684,
-4.291943,38.898056,93.329683365271,3.5571188602277,
-4.045278,39.884445,87.865954704474,4.1809961204899,
-3.920278,38.989166,86.328638497653,3.7846058652442,3.1
-3.566724,38.518047,84.406551492035,3.7268170869498,3.6
-3.528358,39.492065,70.857576524159,3.538358362299,
-3.391368,38.750423,82.984581497797,3.5828287730966,2.2
-3.215832,39.390827,95.087812666312,4.2379492484147,
-3.149995,40.630283,81.962761830877,3.5464415281425,3.6
-3.142474,41.274166,95.090792955562,2.6123819406558,
-3.00749,39.169044,55.971706864564,3.5684002620722,2.8
-2.874063,40.765198,88.694223925541,1.937000508087,
-2.80695,40.06111,91.279547321347,3.4688830721995,
-2.705556,39.555283,8.2671776621955,0.23160201810115,
-2.617927,41.086277,79.170274170274,2.0064514047277,
-2.49575,39.51697,92.043357933579,2.9637842935072,
-2.488886,39.016663,92.745688475226,2.9495952468967,
-2.412981,38.08842,92.73200109499,1.9747781918046,
-2.293887,38.294994,90.815767862031,-0.079999633220725,
-2.218889,38.393333,88.794598047267,0.63662491079488,
-2.131667,40.066944,83.240811638591,3.0952930852004,2.5
-1.878928,40.841652,73.843676814988,1.8673626737909,3.1
-1.862335,39.005577,48.064395182078,3.2155029682613,0.3
-1.856389,38.954166,98.581503446065,2.9437343308438,
-1.70307,38.54202,93.260670155938,2.2050379566459,0.8
-1.68944,38.58806,89.47440459896,2.3467947325186,
-1.658812,38.9376,84.099472494348,2.3306282704542,3.9
-1.568336,40.77861,94.588922346929,1.5631850932767,
-1.435505,39.198746,94.027739757277,3.1335459778703,
-1.063051,38.85055,91.313076010585,2.4517296166212,
