lon,lat,anomalia,dpv,vel_media_viento
-4.863596,39.958607,31.79727740986,1.2361417178483,
-4.680608,40.108208,86.891875077765,1.1473167531626,
-4.350468,39.546833,33.004587155963,1.3717505166471,1.9
-4.301663,38.428886,86.599477416947,1.335415622884,
-4.291943,38.898056,85.398780639542,1.2236098361943,
-4.045278,39.884445,76.490797546012,1.6708038665099,2.2
-3.920278,38.989166,65.064825253664,1.7167299512486,
-3.566724,38.518047,70.766319772942,1.4429341353027,2.2
-3.391368,38.750423,65.722801788376,1.4391508898318,1.7
-3.215832,39.390827,87.338759213759,1.6163010248266,
-3.149995,40.630283,46.973684210526,1.5482829707235,2.8
-3.142474,41.274166,89.66654224213,1.1588809700998,
-3.02139,40.012074,70.878787878788,1.638690269336,2.5
-3.00749,39.169044,56.22418879056,1.8172893784203,1.7
-2.874063,40.765198,91.993281075028,1.348441646979,
-2.80695,40.06111,87.663307204181,1.3124058743021,
-2.705556,39.555283,87.787731740699,1.3116472419459,
-2.617927,41.086277,30.468594217348,1.0459639412082,
-2.488886,39.016663,88.975986064452,1.5806087885204,
-2.412981,38.08842,91.116088092572,0.9740392243236,
-2.293887,38.294994,91.109866865746,-0.073477135081248,
-2.218889,38.393333,91.259176309568,0.26487489753661,
-2.131667,40.066944,62.7741014662,1.4231911643132,1.4
-1.878928,40.841652,59.49098621421,1.0639075590706,1.7
-1.862335,39.005577,59.614770331566,1.696042959408,0.8
-1.856389,38.954166,75.58282208589,1.5790711174195,2.2
-1.70307,38.54202,84.034595605423,1.7907317450207,
-1.68944,38.58806,92.882916511136,2.1059704009606,
-1.658812,38.9376,48.152424942263,1.2242058220944,
-1.568336,40.77861,86.437725519472,1.1979125760014,
-1.435505,39.198746,92.789598108747,2.0378264056412,
-1.063051,38.85055,93.685454771681,2.114845669133,
