lon,lat,anomalia,dpv,vel_media_viento
-4.863596,39.958607,64.510332434861,2.2717293961461,1.7
-4.680608,40.108208,85.463189742112,1.9946253574034,
-4.616461,39.088833,,,1.7
-4.350468,39.546833,,,2.2
-4.301663,38.428886,91.82394467656,2.9003745458183,
-4.291943,38.898056,88.719204725544,2.8733900287051,
-4.045278,39.884445,77.043673012318,2.5403272337252,3.3
-3.920278,38.989166,64.137573453163,2.7812348198943,2.2
-3.391368,38.750423,68.503118503119,2.7395397760629,1.9
-3.215832,39.390827,90.524565940155,2.8329100882328,
-3.149995,40.630283,58.536585365854,2.5624408532408,2.8
-3.142474,41.274166,94.431638092494,1.8900641467461,
-3.02139,40.012074,78.440366972477,2.8874986400273,3.6
-3.00749,39.169044,39.705882352941,2.6359830043934,2.5
-2.874063,40.765198,94.503673822216,2.1138032854601,
-2.80695,40.06111,91.82394467656,2.6284855101151,
-2.705556,39.555283,91.917591125198,2.299842107728,
-2.617927,41.086277,24.348242047357,1.5200459357962,
-2.488886,39.016663,91.564616049561,2.57525265806,
-2.420691,39.416737,74.254966887417,2.4729854794334,2.8
-2.412981,38.08842,84.440282380061,1.2071563398753,
-2.395207,40.018784,92.818037746722,2.5191875406447,
-2.293887,38.294994,85.6216683475,0.04343467167361,
-2.218889,38.393333,86.550929260913,0.54262040021744,
-2.131667,40.066944,61.30276895143,2.4985862969288,2.2
-1.878928,40.841652,51.338180693069,1.4922289189001,
-1.862335,39.005577,51.147930752656,2.2515364877016,0.6
-1.856389,38.954166,79.801871216291,2.1534435944533,
-1.70307,38.54202,61.872863346577,1.6209317533864,
-1.68944,38.58806,91.535801757672,2.0521799659315,
-1.658812,38.9376,77.812257564003,1.873472588725,1.9
-1.568336,40.77861,91.715891081977,1.5989305227331,
-1.435505,39.198746,92.501080535946,2.1244813066379,
-1.063051,38.85055,91.715891081977,1.9898506181062,
