lon,lat,anomalia,dpv,vel_media_viento
-4.863596,39.958607,59.223564544591,2.3603003861719,3.6
-4.680608,40.108208,88.498206531999,2.5811453197336,
-4.616461,39.088833,66.870283866331,2.719314664898,2.2
-4.301663,38.428886,87.563715310553,2.7197650145001,
-4.291943,38.898056,86.14309986785,2.6335186991525,
-3.920278,38.989166,83.9453125,3.2359995647475,
-3.566724,38.518047,82.763433356595,3.1201965152471,4.2
-3.528358,39.492065,,,3.6
-3.391368,38.750423,83.990719257541,3.4449679048768,1.7
-3.215832,39.390827,90.231476353971,3.7212641514414,
-3.149995,40.630283,69.202302631579,2.8103934659308,3.1
-3.142474,41.274166,82.858221634888,1.946097782415,
-3.02139,40.012074,83.008509470217,2.9952156883083,2.5
-3.00749,39.169044,48.489806191795,3.1692505358624,3.6
-2.874063,40.765198,77.751557485369,1.4282580779549,
-2.80695,40.06111,79.050226586103,2.6572616222884,
-2.705556,39.555283,7.6316783084765,-0.1009728990388,
-2.617927,41.086277,76.498446055942,1.7648655812195,2.2
-2.488886,39.016663,87.96960543704,3.0808148289569,
-2.420691,39.416737,64.557188956615,2.6918019540838,5.0
-2.412981,38.08842,96.384746082688,2.1656697879801,
-2.293887,38.294994,91.094015480461,0.2056337213335,
-2.218889,38.393333,86.20917500472,0.74459316945104,
-2.131667,40.066944,82.757777342986,2.7057299418836,2.2
-1.878928,40.841652,70.318407960199,1.6137522186096,2.2
-1.862335,39.005577,45.656789885146,3.1898974004012,1.7
-1.856389,38.954166,88.731112826734,3.1169682987331,5.8
-1.70307,38.54202,90.910877744707,2.4783041410974,5.0
-1.68944,38.58806,84.826316783085,2.6013378897442,
-1.658812,38.9376,83.574815595364,2.5099589277604,5.8
-1.568336,40.77861,83.858787993204,1.8353263580814,
-1.435505,39.198746,88.965452142722,3.1998687781392,
-1.063051,38.85055,80.33320747593,2.5148340515244,
