lon,lat,anomalia,dpv,vel_media_viento
-4.863596,39.958607,42.878283388827,3.0994005970475,3.9
-4.680608,40.108208,86.51860146821,3.4103795999927,
-4.350468,39.546833,43.982134461683,3.4104615608346,3.6
-4.301663,38.428886,89.013313425407,2.6304605855179,
-4.291943,38.898056,87.86238646261,3.2137659480791,
-3.920278,38.989166,,,3.6
-3.528358,39.492065,,,4.7
-3.391368,38.750423,81.230847803882,3.53159997296,3.6
-3.215832,39.390827,94.982217411474,3.5315604038523,
-3.149995,40.630283,59.187442289935,3.0271006603787,4.4
-3.142474,41.274166,83.488864003982,2.5452424321963,
-3.02139,40.012074,83.521303258145,2.6537396520844,5.6
-3.00749,39.169044,66.067073170732,2.933100742718,
-2.874063,40.765198,88.509394052507,2.4118724438576,
-2.80695,40.06111,94.357347268881,2.3506742607583,
-2.705556,39.555283,86.400398158517,2.3098575006957,
-2.617927,41.086277,39.193548387097,1.5964320948162,
-2.488886,39.016663,92.192360333458,3.0022983647628,
-2.412981,38.08842,88.098793081996,1.2676459492851,
-2.293887,38.294994,88.783128032848,-0.18135386748888,
-2.218889,38.393333,89.486126664178,0.30556363293205,
-2.131667,40.066944,72.790758386634,2.0211355274724,4.7
-1.878928,40.841652,,,4.2
-1.862335,39.005577,70.828258221681,2.6324418499486,1.4
-1.856389,38.954166,86.675887505763,2.4732007267135,5.0
-1.70307,38.54202,87.228812236616,1.7729268574492,0.8
-1.68944,38.58806,89.871842727386,1.9776337119914,
-1.658812,38.9376,65.47619047619,1.7924863801352,
-1.568336,40.77861,80.011198208287,1.4394266545673,
-1.435505,39.198746,89.654099788478,1.9691080673942,
-1.063051,38.85055,90.238895110116,1.9803231201769,
