lon,lat,anomalia,dpv,vel_media_viento
-4.863596,39.958607,38.281712369304,2.02703577371,2.2
-4.680608,40.108208,79.568561001043,1.6173377976338,
-4.350468,39.546833,34.040959040959,1.5867190348565,1.7
-4.301663,38.428886,79.086287799791,1.8338181590807,
-4.291943,38.898056,75.267205422315,1.862487853241,
-3.920278,38.989166,71.559771153267,2.455101161422,2.2
-3.566724,38.518047,77.226318774816,1.9162695954835,2.2
-3.528358,39.492065,55.667882001989,1.8582774590522,
-3.391368,38.750423,72.964574269733,2.1440738388223,1.9
-3.215832,39.390827,76.368852459016,2.3735790671843,
-3.149995,40.630283,41.550279329609,1.8240820958461,1.9
-3.142474,41.274166,72.692909280501,1.000659075906,
-3.02139,40.012074,78.260869565217,1.9940952633752,3.3
-3.00749,39.169044,56.60091047041,2.2533582274647,1.9
-2.874063,40.765198,88.679614181439,1.5635279090576,
-2.80695,40.06111,79.868352450469,1.5297971840148,
-2.705556,39.555283,77.821949947862,1.5197060377382,
-2.617927,41.086277,34.645078275788,0.98075718768254,
-2.488886,39.016663,70.737747653806,1.9663485066337,
-2.412981,38.08842,76.081856100104,1.0506155332446,
-2.395207,40.018784,82.20802919708,1.3848587086951,
-2.293887,38.294994,75.143378519291,-0.43539874915165,
-2.218889,38.393333,75.097758081335,0.142968130668,
-2.131667,40.066944,69.426926240746,1.5889139839728,2.8
-1.878928,40.841652,62.261637689288,0.91316778459678,1.9
-1.862335,39.005577,64.942490078698,1.6574503096509,0.8
-1.856389,38.954166,70.19129019129,1.5543003631521,3.9
-1.70307,38.54202,81.305209279287,1.5030937194039,1.7
-1.68944,38.58806,77.834984358707,1.5775155295708,
-1.658812,38.9376,45.21897810219,1.104400169971,
-1.568336,40.77861,76.635818561001,0.93161855567022,
-1.435505,39.198746,81.243482794578,1.2922599179993,
-1.063051,38.85055,81.517205422315,1.4403341309781,
