lon,lat,anomalia,dpv,vel_media_viento
-4.680608,40.108208,74.52098540146,1.7411745485098,
-4.350468,39.546833,49.261562378546,1.8763524851762,4.2
-4.301663,38.428886,65.955748175182,1.5981782369382,
-4.291943,38.898056,75.986541970803,2.1904197486678,
-4.045278,39.884445,83.531428571429,2.3964782127728,
-3.920278,38.989166,73.367654445003,2.3340422674637,2.8
-3.566724,38.518047,,,4.4
-3.391368,38.750423,53.688029020556,2.1489558618562,2.8
-3.215832,39.390827,62.258109425031,2.0675567363225,
-3.149995,40.630283,67.604456824513,2.4922771898404,2.5
-3.142474,41.274166,71.629790145985,1.4916508577227,
-3.046938,39.597515,78.709349593496,1.9365514835476,2.2
-3.02139,40.012074,81.031976744186,2.2620875832335,3.9
-3.00749,39.169044,32.742960944596,1.8704519259194,3.3
-2.874063,40.765198,75.536040145985,1.2403007912623,
-2.80695,40.06111,84.79128649635,2.129519840981,
-2.705556,39.555283,79.077326642336,1.7997628022486,
-2.617927,41.086277,79.493841416474,1.7311388890702,
-2.488886,39.016663,78.478558394161,1.9150726863997,
-2.412981,38.08842,78.284671532847,0.99924133972762,
-2.293887,38.294994,77.617472627737,-0.18932978011067,
-2.218889,38.393333,77.685903284672,0.20055766937494,
-2.131667,40.066944,73.248597684688,2.1426130474974,3.1
-1.878928,40.841652,31.908536585366,1.7666768934236,2.2
-1.862335,39.005577,73.764961276696,1.9428171000542,1.1
-1.856389,38.954166,81.781740272306,1.9520944977543,4.2
-1.70307,38.54202,84.625167808945,1.7808729548827,2.5
-1.68944,38.58806,77.856979927007,1.7808729548827,
-1.658812,38.9376,74.721355327686,1.6721287535615,3.6
-1.568336,40.77861,78.142107664234,1.7293504889274,
-1.435505,39.198746,85.338731751825,2.031380831929,
-1.063051,38.85055,83.970118613139,1.7763208890907,
